City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Tura,IN,25.5198,90.2201,72.39,68,100,2.33,overcast clouds
279,Kirundo,BI,-2.5833,30.1667,65.17,92,100,0.83,overcast clouds
280,Saint-Philippe,RE,-21.3585,55.7679,83.75,72,18,11.1,few clouds
281,Bajil,YE,15.0584,43.2851,76.77,64,0,1.01,clear sky
282,Port Hardy,CA,50.6996,-127.4199,33.76,100,90,11.5,heavy snow
283,Havelock,US,34.8791,-76.9013,55.35,93,80,4.79,broken clouds
284,Glendive,US,47.1053,-104.7125,10.49,79,90,10.36,overcast clouds
285,Volokonovka,RU,50.4827,37.8563,29.7,73,99,7.2,overcast clouds
286,Medea,DZ,36.2642,2.7539,45.05,76,48,14.38,scattered clouds
287,Alta Floresta,BR,-9.8756,-56.0861,71.73,98,100,2.01,overcast clouds
288,Santa Cruz,BO,-17.8,-63.1667,76.46,78,75,16.11,broken clouds
289,Asau,RO,46.4333,26.4,32.95,82,100,2.06,overcast clouds
290,Lazarev,RU,52.225,141.5131,25.63,78,100,15.28,overcast clouds
291,Cabedelo,BR,-6.9811,-34.8339,79.47,80,36,14.27,scattered clouds
292,Dubbo,AU,-32.25,148.6167,66.33,82,75,16.11,broken clouds
293,Dalbandin,PK,28.8947,64.4101,54.97,39,15,7.76,few clouds
294,Nouadhibou,MR,20.931,-17.0347,64.38,42,49,12.66,scattered clouds
295,Iwanai,JP,42.9744,140.5089,43.36,74,15,4.81,few clouds
296,Gazojak,TM,41.1875,61.4036,41.67,75,85,11.41,overcast clouds
297,Manacapuru,BR,-3.2997,-60.6206,77.58,92,81,2.71,broken clouds
298,Berdigestyakh,RU,62.0989,126.6992,-22.74,99,88,2.46,overcast clouds
299,Morondava,MG,-20.2833,44.2833,84.13,62,3,3.51,clear sky
300,Karratha,AU,-20.7377,116.8463,102.49,26,54,18.39,broken clouds
301,Sechura,PE,-5.5569,-80.8222,66.63,83,100,9.91,overcast clouds
302,Kysyl-Syr,RU,63.8986,122.7617,-26.45,95,83,5.21,broken clouds
303,Ahipara,NZ,-35.1667,173.1667,72.34,71,98,10.6,overcast clouds
304,Porto Novo,BJ,6.4965,2.6036,77.88,88,47,4.56,scattered clouds
305,Vardo,NO,70.3705,31.1107,14.2,78,86,20.85,overcast clouds
306,Porto Santo,PT,33.072,-16.3415,64.78,59,75,13.8,broken clouds
307,Canutama,BR,-6.5339,-64.3831,72.93,99,100,2.73,overcast clouds
308,Cherskiy,RU,68.75,161.3,-30.33,97,100,3.56,overcast clouds
309,Tete,MZ,-16.1564,33.5867,86.09,48,31,8.05,haze
310,Baruun-Urt,MN,46.6806,113.2792,26.01,52,0,19.55,clear sky
311,Namwala,ZM,-15.7504,26.4384,78.35,41,97,6.15,overcast clouds
312,Gimli,CA,50.6336,-96.9907,-2.56,90,100,17.72,overcast clouds
313,Novyy Buyan,RU,53.6861,50.0469,19.56,93,32,3.65,scattered clouds
314,Yulara,AU,-25.2406,130.9889,95.02,15,0,0.94,clear sky
315,Bahia Blanca,AR,-38.7196,-62.2724,63.0,66,0,7.52,clear sky
316,Broome,US,42.2506,-75.833,44.82,68,100,4.0,overcast clouds
317,Ca Mau,VN,9.1769,105.15,84.07,61,44,8.3,scattered clouds
318,Grand Gaube,MU,-20.0064,57.6608,81.37,69,21,7.0,few clouds
319,Yerbogachen,RU,61.2767,108.0108,-13.16,97,57,4.61,broken clouds
320,Sembakung,ID,3.8167,117.25,78.73,92,100,0.27,moderate rain
321,Saint Simons,US,31.1352,-81.3901,57.24,97,1,0.0,mist
322,Aktau,KZ,43.65,51.2,32.58,60,52,6.51,broken clouds
323,Harstad,NO,68.799,16.5293,22.23,100,17,7.43,few clouds
324,Orotukan,RU,62.2667,151.7,-33.74,92,36,4.97,scattered clouds
325,Vallenar,CL,-28.5708,-70.7581,66.94,49,32,3.15,scattered clouds
326,Nybro,SE,56.7446,15.9071,28.04,96,78,6.35,light snow
327,Denpasar,ID,-8.65,115.2167,82.06,83,40,16.11,scattered clouds
328,Alice Springs,AU,-23.7,133.8833,90.95,29,20,8.05,few clouds
329,Roald,NO,62.5833,6.1333,36.34,64,90,18.41,overcast clouds
330,Padang,ID,-0.9492,100.3543,87.85,63,57,5.5,broken clouds
331,Flinders,AU,-34.5833,150.8552,71.19,64,100,10.27,light rain
332,Fernie,CA,49.5,-115.0687,15.35,90,97,3.06,overcast clouds
333,Rawson,AR,-43.3002,-65.1023,63.52,62,2,6.24,clear sky
334,Husavik,IS,66.0449,-17.3389,39.11,83,100,17.27,overcast clouds
335,Charters Towers,AU,-20.1,146.2667,94.93,27,25,8.46,scattered clouds
336,Marsa Matruh,EG,31.3525,27.2453,60.46,66,0,8.34,clear sky
337,Vestmanna,FO,62.1564,-7.1664,36.52,87,75,31.07,broken clouds
338,Komsomolskiy,UZ,40.4272,71.7189,41.72,70,75,4.61,mist
339,Talnakh,RU,69.4865,88.3972,-14.8,99,100,13.78,light snow
340,Lorengau,PG,-2.0226,147.2712,82.65,83,99,14.58,moderate rain
341,Ulladulla,AU,-35.35,150.4667,69.76,62,100,9.82,moderate rain
342,Waycross,US,31.2136,-82.354,52.32,93,90,0.0,mist
343,Isangel,VU,-19.55,169.2667,89.71,62,20,6.91,few clouds
344,Hokitika,NZ,-42.7167,170.9667,56.84,64,97,9.57,overcast clouds
